,job_title,min_salary,max_salary,experience_required,skills_required,job_specializations,career_level,qualification,job_type,date_posted,city,province,region
0,Research Analyst (Iloilo Site),,,1.0,,,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,iloilo city,iloilo,western visayas
1,Business Analyst,,,1.0,"Power BI, Google Sheet, Microsoft Excel, Tableau","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,taguig city,metro manila,national capital region
2,Marketing Data Analyst,,,5.0,"Google Analytics, Power BI, Microsoft Excel","Sales/Marketing, Digital Marketing",Supervisor/5 Years & Up Experienced Employee,Not Specified,Full-Time,2023-06-22,makati city,metro manila,national capital region
3,Financial Data Analyst,,,4.0,"SQL, Power BI","Accounting/Finance, Banking/Financial",1-4 Years Experienced Employee,Bachelor's/College Degree,Contract,2023-06-22,taguig city,metro manila,national capital region
4,Data Analyst,20000.0,25000.0,1.0,Microsoft Excel,"Computer/Information Technology, IT-Software",Less than 1 Year Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-19,manila city,metro manila,national capital region
5,Business Data Analyst,,,2.0,"Microsoft Excel, Power BI, Tableau","Sales/Marketing, Marketing/Business Dev",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-21,quezon city,metro manila,national capital region
6,Engineer - Data Analytics / GHG Accounting,,,2.0,"Microsoft Excel, Power BI, SAS, Tableau",,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,pasig city,metro manila,national capital region
7,Business Data Analyst,,,2.0,,"Computer/Information Technology, IT-Network/Sys/DB Admin",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-21,pasig city,metro manila,national capital region
8,Marketing Data Analyst,,,2.0,"Microsoft Excel, Power BI, Tableau","Sales/Marketing, Digital Marketing",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-21,quezon city,metro manila,national capital region
9,Data Analyst (Marketing Content & Media),,,2.0,"Microsoft Excel, Power BI, Tableau","Sales/Marketing, Marketing/Business Dev",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-20,quezon city,metro manila,national capital region
10,Pricing Data Analyst,,,2.0,"Microsoft Excel, SQL",,1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-20,quezon city,metro manila,national capital region
11,Data Science Consultant,,,5.0,"Machine learning, Tableau, SQL, Python, Power BI",,Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-25,makati city,metro manila,national capital region
12,CRM DATA ANALYST,,,5.0,Microsoft Excel,"Sales/Marketing, Marketing/Business Dev",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,quezon city,metro manila,national capital region
13,Data Analytics Lead,,,5.0,"SQL, Python, Power BI, Tableau",,Not Specified,Not Specified,,2023-06-25,makati city,metro manila,national capital region
14,Data Analyst | Data Visualization and Modeling (CF 3032),,,3.0,"Machine learning, SQL, Power BI","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,,,national capital region
15,Systems Administrator (Data Analyst) - Mid Shift & Hybrid,,,3.0,,"Computer/Information Technology, IT-Network/Sys/DB Admin",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,quezon city,metro manila,national capital region
16,URGENT || Data Engineer | Eastwood,,,2.0,"SQL, Python",,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,quezon city,metro manila,national capital region
17,Data Privacy Compliance Analyst,,,1.0,,,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-20,quezon city,metro manila,national capital region
18,Portfolio Data Analyst,,,,SQL,"Accounting/Finance, Corporate Finance/Investment",Less than 1 Year Experienced Employee,Not Specified,Full-Time,2023-06-20,makati city,metro manila,national capital region
19,"Team Leader, Data Analytics (Blended WFH) | Dayshift/Midshift",,,3.0,"Microsoft Excel, SQL, Power BI, SAS","Services, Customer Service",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,quezon city,metro manila,national capital region
20,REPORTS (DATA) ANALYST,25000.0,35000.0,2.0,"SQL, Python","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Contract,2023-06-20,taguig city,metro manila,national capital region
21,Senior Reporting Analyst | Project Based (3 months) | WFH,,,2.0,"SQL, Power BI, Google Sheet","Services, Tech & Helpdesk Support",1-4 Years Experienced Employee,Not Specified,Temporary,2023-06-25,,,national capital region
22,Data Scientist / Engineer,,,3.0,"SQL, NoSQL, Python","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,taguig city,metro manila,national capital region
23,Business Analyst,,,,SQL,,Not Specified,Not Specified,,2023-06-24,makati city,metro manila,national capital region
24,Business Analyst - Hybrid,80000.0,100000.0,2.0,SQL,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,makati city,metro manila,national capital region
25,URGENT IT Business Analyst,,,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-25,taguig city,metro manila,national capital region
26,Business Analyst,,,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,pasig city,metro manila,national capital region
27,Business Analyst,,,2.0,SAS,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,,,,
28,Senior Business Analyst,,,7.0,,"Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,,,national capital region
29,Lead Data Analytics (Blended WFH) | Midshift,,,3.0,"Power BI, SAS","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,quezon city,metro manila,national capital region
30,Data Scientist,40000.0,45000.0,2.0,"Machine learning, SQL, Python","Accounting/Finance, Banking/Financial",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,,,national capital region
31,Data Analyst,25000.0,30000.0,1.0,"Microsoft Excel, Power BI, Python, SQL",,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-16,makati city,metro manila,national capital region
32,DATA SCIENTIST,,,5.0,"Machine learning, Tableau, SQL, Power BI, Python","Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,"Bachelor's/College Degree, Post Graduate Diploma/Master's Degree",Full-Time,2023-06-21,,,national capital region
33,DATA ENCODER - PROJECT BASED (TAGUIG),,,,Microsoft Excel,"Admin/Human Resources, Clerical/Administrative Support",Less than 1 Year Experienced Employee,Bachelor's/College Degree,Contract,2023-06-23,taguig city,metro manila,national capital region
34,Reporting Analyst (Permanent WFH),,,3.0,"SQL, Power BI, SAS",,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,,,national capital region
35,Data Specialist - Tableau | Onsite | Mid Shift,,,3.0,Microsoft Excel,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-23,,,national capital region
36,Business Intelligence Developer/Data Analyst (Mandaluyong: 90K!! WORK-FROM-HOME),80000.0,90000.0,3.0,"SQL, Tableau","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-20,makati city,metro manila,national capital region
37,Senior Data Analyst (Materials & Pricing) HRD200118,,,8.0,,,Supervisor/5 Years & Up Experienced Employee,"Bachelor's/College Degree, Post Graduate Diploma/Master's Degree, Professional License (Passed Board/Bar/Professional License Exam)",Full-Time,2023-06-22,,,central luzon
38,IP Data Analyst I (1 year contract),,,,Microsoft Excel,"Admin/Human Resources, Clerical/Administrative Support",Less than 1 Year Experienced Employee,Bachelor's/College Degree,Contract,2023-06-22,taguig city,metro manila,national capital region
39,Senior Data Quality Specialist,,,2.0,,"Services, Customer Service",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-25,pasig city,metro manila,national capital region
40,PERFORMANCE & DATA ANALYTICS OFFICER,,,5.0,,,Supervisor/5 Years & Up Experienced Employee,Not Specified,Full-Time,2023-06-23,makati city,metro manila,national capital region
41,Azure Data Engineer (Databricks/Data Factory),,,3.0,Power BI,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,makati city,metro manila,national capital region
42,Senior Data Architect - Work From Home,,,7.0,SQL,,Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-25,mandaluyong city,metro manila,national capital region
43,Data Visualization Engineer,,,7.0,"Machine learning, SQL, Python, Power BI","Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,makati city,metro manila,national capital region
44,Officer (C09) - Reference Data Management Analyst 1 - FIXED TERM (Hybrid) ROHQ - ISG Ops - (23666896),,,,,"Accounting/Finance, Banking/Financial",Not Specified,"Bachelor's/College Degree, Post Graduate Diploma/Master's Degree, Professional License (Passed Board/Bar/Professional License Exam)",Full-Time,2023-06-21,,,national capital region
45,Data Engineer,25000.0,35000.0,,"R Programming language, SQL, NoSQL","Computer/Information Technology, IT-Software",Less than 1 Year Experienced Employee,Not Specified,Full-Time,2023-06-25,makati city,metro manila,national capital region
46,DATA ENGINEER (Hybrid Work Set-Up),90000.0,104000.0,4.0,"cloud storage, SQL, Python","Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,Not Specified,Full-Time,2023-06-25,,,national capital region
47,Business Analyst,30000.0,40000.0,3.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-23,,cebu,central visayas
48,Business Analyst / Documentation Analyst,,,,,,Not Specified,Not Specified,,2023-06-24,makati city,metro manila,national capital region
49,BUSINESS ANALYST,,,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Contract,2023-06-23,taguig city,metro manila,national capital region
50,Data Analyst,,,2.0,"SQL, Power BI",,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,angeles city,pampanga,central luzon
51,Data Engineering Analyst (S&C),,,2.0,Python,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,,,national capital region
52,Data Steward (Mandarin),,,1.0,Microsoft Excel,"Admin/Human Resources, Clerical/Administrative Support",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,,,national capital region
53,Data Analyst - Mechanical/Electrical Engineer with Strong MS Excel Exp,,,3.0,Microsoft Excel,"Engineering, Mechanical",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-20,makati city,metro manila,national capital region
54,Business Analyst,,,3.0,Microsoft Excel,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,pasig city,metro manila,national capital region
55,Data Engineer [SQL | ETL],,,3.0,SQL,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,,,national capital region
56,Business Analyst,,,3.0,"SQL, SAS",,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-22,,,national capital region
57,Data Warehouse Consultant / Data Architect,,,2.0,"Tableau, SQL, Power BI, Hadoop, Python","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,,,,
58,Senior Business Analyst,,,2.0,"SQL, Power BI, Python, Tableau",,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,quezon city,metro manila,national capital region
59,IT Business Analyst,,,2.0,Microsoft Excel,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,,,national capital region
60,"Apply Now for USRN Data Analyst | Manila | Up to 200,00 Joining Bonus | EH 1955",,,1.0,,"Healthcare, Practitioner/Medical Asst",1-4 Years Experienced Employee,"Bachelor's/College Degree, Professional License (Passed Board/Bar/Professional License Exam)",Full-Time,,,,
61,Product Business Analyst,,,4.0,,"Sales/Marketing, Marketing/Business Dev",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,makati city,metro manila,national capital region
62,Business Analyst (Jr- Mid Level) - Urgent Hiring!,,,1.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-25,taguig city,metro manila,national capital region
63,Consumer Community Banking - Data Analytics and Risk Reporting - Vice President - (210420068),,,,"SQL, SAS, Tableau",,Not Specified,"Bachelor's/College Degree, Post Graduate Diploma/Master's Degree, Professional License (Passed Board/Bar/Professional License Exam)",Full-Time,2023-06-22,,,national capital region
64,SAP & Excel Coordinator | Data Analyst | On Site,,,4.0,Microsoft Excel,"Computer/Information Technology, IT-Network/Sys/DB Admin",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-20,,,national capital region
65,Data Analyst,,,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-16,quezon city,metro manila,national capital region
66,Master Data Analyst with SAP background (Hybrid Work Setup),,,3.0,"Microsoft Excel, Tableau","Computer/Information Technology, IT-Network/Sys/DB Admin",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,taguig city,metro manila,national capital region
67,Research Analyst (Previous Research Experience Required),,,1.0,,,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,iloilo city,iloilo,western visayas
68,Annotation & Data Quality Analyst,,,1.0,"Machine learning, Microsoft Excel",,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-19,iloilo city,iloilo,western visayas
69,Officer (C11) Data Services Intermediate Analyst (Hybrid) ROHQ - Finance Data Services - (23666832),,,2.0,,"Accounting/Finance, Banking/Financial",1-4 Years Experienced Employee,"Bachelor's/College Degree, Post Graduate Diploma/Master's Degree, Professional License (Passed Board/Bar/Professional License Exam)",Full-Time,2023-06-21,,,national capital region
70,Research Analyst,20000.0,28000.0,2.0,Microsoft Excel,,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,makati city,metro manila,national capital region
71,Business Analyst,,,2.0,,,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,,,national capital region
72,Management Reporting Analyst,,,2.0,"SQL, Power BI, Microsoft Excel",,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,makati city,metro manila,national capital region
73,Business Analyst,18000.0,30000.0,1.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-22,makati city,metro manila,national capital region
74,Data Analyst,25000.0,35000.0,3.0,"Microsoft Excel, Microsoft Excel",,Supervisor/5 Years & Up Experienced Employee,Not Specified,Full-Time,2023-06-17,pasig city,metro manila,national capital region
75,Data Engineer - Temporary WFH,,,1.0,SQL,"Computer/Information Technology, IT-Network/Sys/DB Admin",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,,,national capital region
76,Financial Analyst,,,3.0,"Microsoft Excel, Tableau",,1-4 Years Experienced Employee,Not Specified,Full-Time,,,,
77,Business Analyst,,,3.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-23,,,national capital region
78,Urgent! Business Analyst - BGC/ Hybrid (User Stories),,,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-24,,,national capital region
79,IT Business Analyst,60000.0,80000.0,1.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Contract,2023-06-24,taguig city,metro manila,national capital region
80,Financial Analyst (Power BI Experience),,,3.0,Power BI,"Accounting/Finance, Banking/Financial",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-24,mandaluyong city,metro manila,national capital region
81,Data Engineer (Mid-Senior Level),,,5.0,"NoSQL, SQL, Hadoop, Python",,Supervisor/5 Years & Up Experienced Employee,Not Specified,Full-Time,2023-06-24,makati city,metro manila,national capital region
82,URGENT! IT Business Analyst (Jr. to Mid),,,1.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-25,,,national capital region
83,IT Business Analyst,,,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,,,national capital region
84,Business Analyst,,,2.0,"Microsoft Excel, Power BI, Tableau","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,quezon city,metro manila,national capital region
85,Business Analyst -,45000.0,65000.0,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-23,,,national capital region
86,Financial Analyst,23000.0,25000.0,,"Microsoft Excel, SQL",,1-4 Years Experienced Employee,Bachelor's/College Degree,,2023-06-25,,,national capital region
87,Data Engineer,,,5.0,Python,"Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,pasig city,metro manila,national capital region
88,Chief Data Officer,,,10.0,,"Computer/Information Technology, IT-Network/Sys/DB Admin",Not Specified,Bachelor's/College Degree,Full-Time,2023-06-21,makati city,metro manila,national capital region
89,Senior Business Analyst,,,5.0,SQL,"Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-22,,,national capital region
90,Data Science Project Manager,75000.0,105000.0,5.0,"R Programming language, Machine learning, Tableau, SQL, Python, Power BI",,Not Specified,Bachelor's/College Degree,,2023-06-25,taguig city,metro manila,national capital region
91,"Data Entry Associate (Ortigas, Pasig)",,,,,"Admin/Human Resources, Clerical/Administrative Support",Less than 1 Year Experienced Employee,Vocational Diploma/Short Course Certificate,Full-Time,2023-06-23,pasig city,metro manila,national capital region
92,Data and Reports Analyst,,,6.0,"Microsoft Excel, Power BI, Power BI","Admin/Human Resources, Human Resources",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-19,taguig city,metro manila,national capital region
93,"Marketing Analytics (MA) Team Coordinator/Data Analyst (Remote, Philippines)",,,3.0,Google Analytics,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-19,,,central visayas
94,Data and Reports Analyst (Night Shift),,,6.0,"Microsoft Excel, Power BI, Power BI","Admin/Human Resources, Human Resources",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-19,taguig city,metro manila,national capital region
95,Business Analyst | Makati,,,2.0,,"Accounting/Finance, Banking/Financial",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,makati city,metro manila,national capital region
96,Data Analytics Specialist Python | SQL (CF 2323),,,6.0,"Machine learning, Tableau, SQL, Power BI, Python","Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,,,national capital region
97,Business Analyst (Officer),,,5.0,,"Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,makati city,metro manila,national capital region
98,IT Business Analyst,,,1.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-24,,,national capital region
99,IT Business Analyst,40000.0,60000.0,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,,,national capital region
100,IT Business Analyst,,,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-25,taguig city,metro manila,national capital region
101,Business Analyst,,,1.0,"SQL, Tableau","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,"Bachelor's/College Degree, Post Graduate Diploma/Master's Degree",Full-Time,2023-06-21,taguig city,metro manila,national capital region
102,Data Controller,30000.0,42000.0,2.0,,"Admin/Human Resources, Clerical/Administrative Support",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-22,manila city,metro manila,national capital region
103,Master Data Specialist (Temporary),,,2.0,Microsoft Excel,,1-4 Years Experienced Employee,Bachelor's/College Degree,Contract,2023-06-24,taguig city,metro manila,national capital region
104,CEBU CITY | Sr. Business Analyst - Data Visualization,,,3.0,"SQL, Power BI, Tableau","Computer/Information Technology, IT-Network/Sys/DB Admin",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,,,central visayas
105,Data Analyst,,,1.0,Power BI,,1-4 Years Experienced Employee,"Bachelor's/College Degree, Professional License (Passed Board/Bar/Professional License Exam)",Full-Time,2023-06-16,mandaluyong city,metro manila,national capital region
106,Business Analyst,60000.0,80000.0,3.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-20,makati city,metro manila,national capital region
107,Business Analyst,,,1.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-21,pasig city,metro manila,national capital region
108,Data Analytics & Reporting Vice President - (210397770),,,,"SQL, SAS",,Not Specified,"Bachelor's/College Degree, Post Graduate Diploma/Master's Degree, Professional License (Passed Board/Bar/Professional License Exam)",Full-Time,2023-06-22,,,national capital region
109,Senior Business Analyst,70000.0,90000.0,5.0,,"Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,mandaluyong city,metro manila,national capital region
110,Finance Data Analyst - QC,,,1.0,SQL,"Accounting/Finance, General/Cost Accounting",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-16,,,national capital region
111,Oracle Business Analyst,40000.0,56000.0,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,,,national capital region
112,Data Analyst,25000.0,35000.0,,"Microsoft Excel, Power BI",,Less than 1 Year Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-16,,,national capital region
113,Data Analyst | Work From Home,25000.0,35000.0,1.0,,,1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-17,pasig city,metro manila,national capital region
114,Data Processor (Seasonal Account),22000.0,30000.0,1.0,,"Services, Customer Service",1-4 Years Experienced Employee,Not Specified,Contract,2023-06-21,,,national capital region
115,BUSINESS ANALYST - TAGUIG or MAKATI,,,3.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,,,,
116,Reporting Analyst | Davao | Graveyard,,,1.0,"Microsoft Excel, SQL, Power BI, Microsoft Excel","Services, Customer Service",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-22,davao city,davao del sur,davao region
117,Financial Analyst,15000.0,18000.0,,,,Not Specified,Not Specified,,2023-06-24,,laguna,calabarzon
118,"Data Entry Associate (Clark, Pampanga)",,,,,"Admin/Human Resources, Clerical/Administrative Support",Less than 1 Year Experienced Employee,Not Specified,Full-Time,2023-06-25,,pampanga,central luzon
119,Data Specialist,,,,"Microsoft Excel, SQL, Power BI, Google Analytics, Python",,Not Specified,Not Specified,,2023-06-19,taguig city,metro manila,national capital region
120,Data Analyst (Vertis North),,,,"SQL, Power BI, Python, Microsoft Excel",,1-4 Years Experienced Employee,Not Specified,,2023-06-18,quezon city,metro manila,national capital region
121,Merchandising Support Services and Data Analytics Manager,,,5.0,,"Sales/Marketing, Merchandising",Assistant Manager/Manager,Not Specified,Full-Time,2023-06-23,quezon city,metro manila,national capital region
122,Data Services Specialist,,,1.0,,"Services, Customer Service",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-22,pasig city,metro manila,national capital region
123,Senior Business Analyst,,,5.0,,"Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Contract,2023-06-24,taguig city,metro manila,national capital region
124,Business Analyst,,,2.0,,"Accounting/Finance, Banking/Financial",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,pasig city,metro manila,national capital region
125,Senior Business Analyst - Urgent Hiring!,100000.0,130000.0,7.0,,"Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-25,taguig city,metro manila,national capital region
126,Master Data Management(BGC Taguig),25000.0,30000.0,2.0,,"Computer/Information Technology, IT-Network/Sys/DB Admin",1-4 Years Experienced Employee,Bachelor's/College Degree,Contract,2023-06-22,taguig city,metro manila,national capital region
127,Database Administrator,,,4.0,"SQL, NoSQL, Python",,1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-25,mandaluyong city,metro manila,national capital region
128,IT Business Analyst,,,5.0,,"Computer/Information Technology, IT-Software",Assistant Manager/Manager,Not Specified,Full-Time,2023-06-23,,,national capital region
129,Lead Database Administrator (SQL Server),120000.0,160000.0,3.0,SQL,"Computer/Information Technology, IT-Network/Sys/DB Admin",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-25,taguig city,metro manila,national capital region
130,Data Engineer II - Nationwide Hiring,,,1.0,"Python, Google Sheet",,1-4 Years Experienced Employee,Not Specified,Full-Time,,,,
131,Financial Analyst,22000.0,25000.0,,,,Less than 1 Year Experienced Employee,Bachelor's/College Degree,Contract,2023-06-25,muntinlupa city,metro manila,national capital region
132,[URGENT] - Business Analyst,,,3.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-22,makati city,metro manila,national capital region
133,URGENT - Data Engineer | ETL + Java,,,2.0,"SQL, Hadoop, Python","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-24,,,national capital region
134,Data Engineer [URGENT!],,,4.0,Power BI,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-22,,,national capital region
135,Data Operations Staff,,,3.0,Power BI,"Computer/Information Technology, IT-Network/Sys/DB Admin",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,,,national capital region
136,Business Analyst | URGENT HIRING,,,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,quezon city,metro manila,national capital region
137,Data Engineer,,,3.0,"SQL, Python","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-24,,,national capital region
138,Data Management Steward - SQL,35000.0,45000.0,3.0,SQL,"Computer/Information Technology, IT-Network/Sys/DB Admin",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-21,makati city,metro manila,national capital region
139,Reporting Analyst - Power BI/SQL/SAS - CEBU I MANILA,,,3.0,"SQL, SAS, Microsoft Excel","Services, Customer Service",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,,,,
140,Reporting Analyst | Cubao or Bohol (Onsite),,,1.0,SQL,"Services, Customer Service",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,,,,
141,Sales Data Specialist,,,2.0,,"Sales/Marketing, Sales - Corporate",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,,,national capital region
142,Data Security Analyst,,,3.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Not Specified,Full-Time,2023-06-18,taguig city,metro manila,national capital region
143,Senior Business Analyst,45000.0,47000.0,4.0,SQL,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,Bachelor's/College Degree,Full-Time,2023-06-23,quezon city,metro manila,national capital region
