,job_title,min_salary,max_salary,experience_required,skills_required,job_specializations,career_level,qualification,job_type,date_posted,city,province,region
2977,Distribution Sales Manager-Batangas,,,5.0,,"Sales/Marketing, Retail Sales",Assistant Manager/Manager,vocational diploma/short course certificate,Full-Time,2023-07-14,,batangas,calabarzon
2978,Digital Marketing Staff/ Marketing Brand Officer,,,1.0,,"Sales/Marketing, Marketing/Business Dev",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,quezon city,metro manila,national capital region
2979,Senior Business Analyst,,,3.0,"Tableau, Power BI, Python, SQL","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,quezon city,metro manila,national capital region
2980,Senior Business Analyst (With Insurance Background),,,5.0,"Microsoft Excel, SQL","Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,bachelor's/college degree,Full-Time,2023-07-14,,,national capital region
2981,Fraud Specialist,,,1.0,R Programming,"Services, Customer Service",1-4 Years Experienced Employee,bachelor's/college degree,Full-Time,2023-07-14,quezon city,metro manila,national capital region
2982,Data Analyst [ASAP],,,3.0,,"Engineering, Other Engineering",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,,,national capital region
2983,Business Analyst,,,3.0,,"Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,taguig city,metro manila,national capital region
2984,Senior Database Specialist,,,5.0,SQL,"Computer/Information Technology, IT-Network/Sys/DB Admin",Supervisor/5 Years & Up Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,taguig city,metro manila,national capital region
2985,Human Resource - Psychometrician,21000.0,22000.0,2.0,Microsoft Excel,"Admin/Human Resources, Human Resources",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,quezon city,metro manila,national capital region
2986,SELL OUT REPORT ASSOCIATE (CONDURA),,,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,muntinlupa city,metro manila,national capital region
2987,MARKETING OFFICER,,,2.0,,"Sales/Marketing, Marketing/Business Dev",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,,,national capital region
2988,Leads Generation / Pay Per Click / Digital Marketing Ads | Work From Home,,,5.0,Google Analytics,,Supervisor/5 Years & Up Experienced Employee,vocational diploma/short course certificate,Full-Time,,,,
2989,Logistics Manager,,,10.0,,"Services, Logistics/Supply Chain",Not Specified,vocational diploma/short course certificate,Full-Time,2023-07-14,taguig city,metro manila,national capital region
2990,Financial Analyst,,,2.0,"Power BI, Microsoft Excel, SQL","Accounting/Finance, General/Cost Accounting",1-4 Years Experienced Employee,vocational diploma/short course certificate,Contract,2023-07-14,taguig city,metro manila,national capital region
